condition,step,avg_verifications,avg_backtracking,avg_subgoals,avg_backwards,total_verifications,total_backtracking,total_subgoals,total_backwards,accuracy,response_length
base_ppo,0,0.62109375,0.6484375,0.5390625,0.0654296875,636,664,552,67,0.005859375,621.763671875
base_ppo,10,0.203125,0.173828125,0.0791015625,0.0625,208,178,81,64,0.0771484375,140.3828125
base_ppo,20,0.458984375,0.4462890625,0.0361328125,0.015625,470,457,37,16,0.1552734375,135.28515625
base_ppo,30,5.625,2.935,0.0,0.01,1125,587,0,2,0.255,650.855
base_ppo,40,7.0,4.225,0.0,0.005,1400,845,0,1,0.355,744.405
base_ppo,50,10.44921875,7.0380859375,0.0029296875,0.0009765625,10700,7207,3,1,0.494140625,1051.798828125
base_ppo,60,11.56640625,8.6123046875,0.0,0.00390625,11844,8819,0,4,0.5009765625,1038.8232421875
base_ppo,70,8.654296875,7.6669921875,0.0,0.001953125,8862,7851,0,2,0.58203125,816.390625
base_ppo,80,5.05,4.865,0.0,0.01,1010,973,0,2,0.52,584.595
base_ppo,90,5.07,4.395,0.0,0.005,1014,879,0,1,0.495,582.08
base_ppo,100,6.01,4.945,0.0,0.015,1202,989,0,3,0.515,585.925
base_ppo,110,7.48,3.855,0.0,0.0,1496,771,0,0,0.5,607.47
base_ppo,120,7.71,3.285,0.0,0.0,1542,657,0,0,0.535,602.245
base_ppo,130,5.82,3.47,0.0,0.01,1164,694,0,2,0.525,586.35
base_ppo,140,3.82,3.51,0.0,0.005,764,702,0,1,0.54,606.85
base_ppo,150,0.8623046875,3.4599609375,0.0,0.0068359375,883,3543,0,7,0.61328125,652.8857421875
base_ppo,160,0.32,3.02,0.0,0.0,64,604,0,0,0.515,611.53
base_ppo,170,0.245,2.86,0.0,0.01,49,572,0,2,0.515,601.03
base_ppo,180,0.29,2.115,0.0,0.02,58,423,0,4,0.555,540.215
base_ppo,190,0.3,1.33,0.0,0.065,60,266,0,13,0.545,526.6
base_ppo,200,0.18,2.055,0.0,0.035,36,411,0,7,0.57,534.65
base_ppo,210,0.115,1.66,0.0,0.03,23,332,0,6,0.51,512.105
base_ppo,220,0.245,1.96,0.0,0.065,49,392,0,13,0.51,524.36
base_ppo,230,0.26,1.06,0.0,0.005,52,212,0,1,0.53,530.675
base_ppo,240,0.27,1.74,0.0,0.02,54,348,0,4,0.535,544.89
backtracking_backward,0,0.1826171875,2.3515625,1.0439453125,1.9912109375,187,2408,1069,2039,0.2919921875,203.0537109375
backtracking_backward,10,0.465,3.7,0.695,2.23,93,740,139,446,0.517578125,305.5625
backtracking_backward,20,0.645,4.38,0.375,2.195,129,876,75,439,0.60546875,374.841796875
backtracking_backward,30,0.745,4.855,0.285,1.705,149,971,57,341,0.650390625,400.08984375
backtracking_backward,40,0.845,5.67,0.265,1.54,169,1134,53,308,0.7001953125,400.14453125
backtracking_backward,50,0.95,5.52,0.19,1.5,190,1104,38,300,0.6982421875,408.470703125
backtracking_backward,60,0.59,5.49,0.255,1.385,118,1098,51,277,0.72265625,388.3525390625
backtracking_backward,70,0.685,5.335,0.06,1.32,137,1067,12,264,0.720703125,365.994140625
backtracking_backward,80,0.65,4.815,0.075,1.27,130,963,15,254,0.7255859375,357.9208984375
backtracking_backward,90,0.635,5.045,0.145,1.165,127,1009,29,233,0.751953125,350.4013671875
backtracking_backward,100,0.71,4.87,0.045,1.345,142,974,9,269,0.7412109375,339.177734375
backtracking_backward,110,0.745,4.955,0.06,1.42,149,991,12,284,0.736328125,344.4189453125
backtracking_backward,120,0.755,4.17,0.065,1.38,151,834,13,276,0.7333984375,336.0078125
backtracking_backward,130,0.76,5.395,0.14,1.43,152,1079,28,286,0.7490234375,350.9423828125
backtracking_backward,140,0.72,4.36,0.12,1.535,144,872,24,307,0.732421875,363.9619140625
backtracking_backward,150,0.79,4.325,0.14,1.465,158,865,28,293,0.7392578125,379.0009765625
backtracking_backward,160,0.69,4.305,0.12,1.49,138,861,24,298,0.7412109375,375.8095703125
backtracking_backward,170,0.59,4.33,0.045,1.645,118,866,9,329,0.7451171875,371.7919921875
backtracking_backward,180,0.635,4.845,0.14,1.465,127,969,28,293,0.7451171875,383.5634765625
backtracking_backward,190,0.61,5.255,0.03,1.525,122,1051,6,305,0.7509765625,374.9765625
backtracking_backward,200,0.775,3.725,0.14,1.77,155,745,28,354,0.75390625,369.6533203125
backtracking_backward,210,0.74,4.375,0.115,1.595,148,875,23,319,0.751953125,372.1923828125
backtracking_backward,220,0.77,4.785,0.055,1.76,154,957,11,352,0.7568359375,371.439453125
backtracking_backward,230,0.82,4.755,0.07,1.84,164,951,14,368,0.7548828125,366.8876953125
backtracking_backward,240,0.785,4.77,0.1,1.57,157,954,20,314,0.755859375,379.04296875
backtracking_backward,250,0.65,4.775,0.075,1.75,130,955,15,350,0.7568359375,359.251953125
only_backtracking,0,2.951171875,3.1396484375,0.6962890625,0.109375,3022,3215,713,112,0.4453125,420.357421875
only_backtracking,20,0.92,5.56,0.07,0.14,184,1112,14,28,0.62109375,433.6796875
only_backtracking,30,0.805,5.0,0.03,0.06,161,1000,6,12,0.6494140625,382.4697265625
only_backtracking,40,0.89,5.56,0.015,0.115,178,1112,3,23,0.6796875,388.4599609375
only_backtracking,50,0.79,5.05,0.025,0.03,158,1010,5,6,0.6962890625,370.2197265625
only_backtracking,60,0.915,4.465,0.06,0.03,183,893,12,6,0.7138671875,359.79296875
only_backtracking,70,0.84,3.21,0.02,0.09,168,642,4,18,0.7109375,339.0419921875
only_backtracking,80,0.9,4.535,0.095,0.045,180,907,19,9,0.724609375,359.740234375
only_backtracking,90,0.925,4.64,0.025,0.115,185,928,5,23,0.7294921875,340.96875
only_backtracking,100,0.8,4.165,0.005,0.02,160,833,1,4,0.7333984375,332.87890625
only_backtracking,110,0.81,4.15,0.02,0.09,162,830,4,18,0.734375,343.716796875
